Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
cifar100,5000,40,1,1,0.0002,200000.0,0.8251953125,4125.9765625,369.03856269283636,136189.46075439453,1845192.8134641817
cifar100,5000,40,1,2,0.0004,100000.0,0.9033203125,2258.30078125,285.65496441950694,81598.75869750977,714137.4110487673
cifar100,5000,40,1,4,0.0008,50000.0,1.0205078125,1275.634765625,228.19248403196096,52071.80976867676,285240.60503995116
cifar100,5000,40,1,8,0.0016,25000.0,1.240234375,775.146484375,196.09827287176964,38454.532623291016,122561.42054485602
cifar100,5000,40,1,16,0.0032,12500.0,1.62109375,506.591796875,181.2437911450025,32849.31182861328,56638.68473281328
cifar100,5000,40,1,32,0.0064,6250.0,2.1875,341.796875,172.93705954045825,29907.2265625,27021.4155531966
cifar100,5000,40,1,64,0.0128,3125.0,3.02734375,236.51123046875,169.2336604064782,28640.031814575195,13221.379719256109
cifar100,5000,40,1,128,0.0256,1562.5,4.21875,164.794921875,166.7607359854419,27809.14306640625,6514.091249431323
cifar100,5000,40,1,256,0.0512,781.25,5.9375,115.966796875,165.95817020506252,27542.1142578125,3241.370511817627
cifar100,5000,40,1,512,0.1024,390.625,8.359375,81.634521484375,165.2166550966878,27296.54312133789,1613.4438974285915
cifar100,5000,40,1,1024,0.2048,195.3125,11.71875,57.220458984375,163.77451007078537,26822.09014892578,799.6802249550067
cifar100,5000,40,1,2048,0.4096,97.65625,16.5625,40.435791015625,163.6725742079337,26788.711547851562,399.5912456248381
cifar100,5000,40,1,4096,0.8192,48.828125,23.125,28.228759765625,161.59084993650825,26111.602783203125,197.25445548890167
cifar100,5000,40,1,5000,1.0,40.0,25.625,25.625,162.06673008362944,26265.625,162.06673008362944
cifar100,5000,40,2,1,0.0002,200000.0,0.6427001953125,3213.5009765625,287.4242651742283,82612.70821094513,1437121.3258711414
cifar100,5000,40,2,2,0.0004,100000.0,0.692138671875,1730.3466796875,218.8734659808925,47905.59411048889,547183.6649522312
cifar100,5000,40,2,4,0.0008,50000.0,0.75927734375,949.0966796875,169.7795754400475,28825.104236602783,212224.46930005937
cifar100,5000,40,2,8,0.0016,25000.0,0.859375,537.109375,135.87911821036005,18463.134765625,84924.44888147502
cifar100,5000,40,2,16,0.0032,12500.0,1.02783203125,321.197509765625,114.91511456633441,13205.483555793762,35910.9733019795
cifar100,5000,40,2,32,0.0064,6250.0,1.30615234375,204.0863037109375,103.26040943542988,10662.712156772614,16134.438974285918
cifar100,5000,40,2,64,0.0128,3125.0,1.7236328125,134.6588134765625,96.35400342497873,9284.093976020813,7527.656517576463
cifar100,5000,40,2,128,0.0256,1562.5,2.333984375,91.1712646484375,92.25883310305697,8511.69228553772,3603.8606680881626
cifar100,5000,40,2,256,0.0512,781.25,3.22265625,62.9425048828125,90.07598053893196,8113.682270050049,1759.2964949010147
cifar100,5000,40,2,512,0.1024,390.625,4.4921875,43.8690185546875,88.78465110336026,7882.71427154541,867.0376084312525
cifar100,5000,40,2,1024,0.2048,195.3125,6.30859375,30.803680419921875,88.16527792143945,7773.116230964661,430.49452110077857
cifar100,5000,40,2,2048,0.4096,97.65625,8.828125,21.55303955078125,87.24057021460618,7610.917091369629,212.98967337550337
cifar100,5000,40,2,4096,0.8192,48.828125,12.265625,14.972686767578125,85.70866027037768,7345.974445343018,104.62482943161338
cifar100,5000,40,2,5000,1.0,40.0,13.59375,13.59375,85.97442388582782,7391.6015625,85.97442388582782
cifar100,5000,40,4,1,0.0002,200000.0,0.52764892578125,2638.24462890625,235.97177326032326,55682.677775621414,1179858.8663016162
cifar100,5000,40,4,2,0.0004,100000.0,0.5645751953125,1411.43798828125,178.53435276219184,31874.515116214752,446335.8819054796
cifar100,5000,40,4,4,0.0008,50000.0,0.61126708984375,764.0838623046875,136.68347652990963,18682.372756302357,170854.34566238703
cifar100,5000,40,4,8,0.0016,25000.0,0.67291259765625,420.57037353515625,106.39682374071162,11320.284102112055,66498.01483794476
cifar100,5000,40,4,16,0.0032,12500.0,0.7598876953125,237.46490478515625,84.95802709921992,7217.866368591785,26549.383468506225
cifar100,5000,40,4,32,0.0064,6250.0,0.8905029296875,139.14108276367188,70.40043802163187,4956.221673637629,11000.068440879979
cifar100,5000,40,4,64,0.0128,3125.0,1.092529296875,85.35385131835938,61.07424438056371,3730.0633266568184,4771.42534223154
cifar100,5000,40,4,128,0.0256,1562.5,1.39892578125,54.645538330078125,55.2973968285059,3057.8020960092545,2160.0545636135116
cifar100,5000,40,4,256,0.0512,781.25,1.85546875,36.2396240234375,51.861928189082036,2689.659595489502,1012.9282849430085
cifar100,5000,40,4,512,0.1024,390.625,2.5244140625,24.652481079101562,49.893113717866584,2489.3227964639664,487.2374386510408
cifar100,5000,40,4,1024,0.2048,195.3125,3.4814453125,16.999244689941406,48.65467736686249,2367.277629673481,237.57166683038324
cifar100,5000,40,4,2048,0.4096,97.65625,4.82421875,11.777877807617188,47.67349744028258,2272.762358188629,116.3903746100649
cifar100,5000,40,4,4096,0.8192,48.828125,6.640625,8.106231689453125,46.40277785338919,2153.2177925109863,56.644015934312975
cifar100,5000,40,4,5000,1.0,40.0,7.32421875,7.32421875,46.322426662622746,2145.7672119140625,46.322426662622746
cifar100,5000,40,8,1,0.0002,200000.0,0.449676513671875,2248.382568359375,201.10145049108522,40441.7933896184,1005507.252455426
cifar100,5000,40,8,2,0.0004,100000.0,0.478057861328125,1195.1446533203125,151.1751695145803,22853.93187776208,377937.9237864507
cifar100,5000,40,8,4,0.0008,50000.0,0.5126953125,640.869140625,114.64215704954977,13142.824172973633,143302.6963119372
cifar100,5000,40,8,8,0.0016,25000.0,0.55572509765625,347.32818603515625,87.86785307566252,7720.759604126215,54917.40817228908
cifar100,5000,40,8,16,0.0032,12500.0,0.61126708984375,191.02096557617188,68.34173826495481,4670.593189075589,21356.79320779838
cifar100,5000,40,8,32,0.0064,6250.0,0.68603515625,107.1929931640625,54.23584121748747,2941.526472568512,8474.350190232417
cifar100,5000,40,8,64,0.0128,3125.0,0.791015625,61.798095703125,44.21911771911205,1955.3303718566895,3454.6185718056286
cifar100,5000,40,8,128,0.0256,1562.5,0.94482421875,36.907196044921875,37.34745649673959,1394.832506775856,1458.88501940389
cifar100,5000,40,8,256,0.0512,781.25,1.1749267578125,22.94778823852539,32.840201238152275,1078.4788173623383,641.4101804326616
cifar100,5000,40,8,512,0.1024,390.625,1.5185546875,14.829635620117188,30.013072275157654,900.784507393837,293.09640893708644
cifar100,5000,40,8,1024,0.2048,195.3125,2.021484375,9.870529174804688,28.251102987210476,798.1248199939728,137.94483880473865
cifar100,5000,40,8,2048,0.4096,97.65625,2.73193359375,6.669759750366211,26.99728928930982,728.8536289706826,65.91135080397905
cifar100,5000,40,8,4096,0.8192,48.828125,3.6767578125,4.488229751586914,25.692126267354457,660.0853521376848,31.36245882245417
cifar100,5000,40,8,5000,1.0,40.0,4.033203125,4.033203125,25.508216282217592,650.6690979003906,25.508216282217592
sun397,8534,40,1,1,0.00011717834544176236,341360.0,0.78369140625,6688.0224609375,457.87971029272285,209653.8290977478,3907545.4476380968
sun397,8534,40,1,2,0.00023435669088352472,170680.0,0.83984375,3583.61328125,346.96831075329084,120387.00866699219,1480513.781984292
sun397,8534,40,1,4,0.00046871338176704945,85340.0,0.9228515625,1968.90380859375,269.59272662094895,72680.23824691772,575176.0822457946
sun397,8534,40,1,8,0.0009374267635340989,42670.0,1.0595703125,1130.296630859375,218.87245184146542,47905.150175094604,233482.18800188325
sun397,8534,40,1,16,0.0018748535270681978,21335.0,1.318359375,703.179931640625,192.56623330067785,37081.754207611084,102710.01468674905
sun397,8534,40,1,32,0.0037497070541363956,10667.5,1.73828125,463.577880859375,179.5359282386214,32233.149528503418,47879.98786213735
sun397,8534,40,1,64,0.007499414108272791,5333.75,2.36328125,315.1287841796875,172.59640169912606,29789.517879486084,23014.651439067842
sun397,8534,40,1,128,0.014998828216545582,2666.875,3.26171875,217.46490478515625,168.44101132499875,28372.374296188354,11230.278051933901
sun397,8534,40,1,256,0.029997656433091165,1333.4375,4.5703125,152.35565185546875,166.89073552725412,27852.51760482788,5563.459128865573
sun397,8534,40,1,512,0.05999531286618233,666.71875,6.40625,106.7791748046875,165.41512489401075,27362.163543701172,2757.1341325107182
