Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
cifar100,5000,20,1,1,0.0002,100000.0,0.79833984375,3991.69921875,252.45722531129397,63734.65061187744,1262286.1265564698
cifar100,5000,20,1,2,0.0004,50000.0,0.8544921875,2136.23046875,191.0702617492496,36507.84492492676,477675.65437312395
cifar100,5000,20,1,4,0.0008,25000.0,0.938720703125,1173.40087890625,148.42477543148706,22029.91396188736,185530.96928935882
cifar100,5000,20,1,8,0.0016,12500.0,1.044921875,653.076171875,116.8258171838269,13648.271560668945,73016.1357398918
cifar100,5000,20,1,16,0.0032,6250.0,1.259765625,393.6767578125,99.59321732463891,9918.808937072754,31122.88041394966
cifar100,5000,20,1,32,0.0064,3125.0,1.640625,256.34765625,91.7137256396398,8411.407470703125,14330.269631193718
cifar100,5000,20,1,64,0.0128,1562.5,2.2265625,173.9501953125,88.01261065898322,7746.219635009766,6875.985207733063
cifar100,5000,20,1,128,0.0256,781.25,3.046875,119.0185546875,85.16274523680839,7252.693176269531,3326.6697358128276
cifar100,5000,20,1,256,0.0512,390.625,4.2578125,83.160400390625,84.15240843709799,7081.62784576416,1643.60172728707
cifar100,5000,20,1,512,0.1024,195.3125,5.9765625,58.3648681640625,83.52500013610054,6976.425647735596,815.6738294541068
cifar100,5000,20,1,1024,0.2048,97.65625,8.359375,40.8172607421875,82.6083275483439,6824.135780334473,403.3609743571479
cifar100,5000,20,1,2048,0.4096,48.828125,11.71875,28.6102294921875,81.88725503539268,6705.522537231445,199.92005623875167
cifar100,5000,20,1,4096,0.8192,24.4140625,16.40625,20.02716064453125,81.06424665958981,6571.412086486816,98.95537922313208
cifar100,5000,20,1,5000,1.0,20.0,18.125,18.125,81.05746418436738,6570.3125,81.05746418436738
cifar100,5000,20,2,1,0.0002,100000.0,0.623779296875,3118.896484375,197.2563335383352,38910.06112098694,986281.6676916761
cifar100,5000,20,2,2,0.0004,50000.0,0.662841796875,1657.1044921875,148.21593161406076,21967.962384223938,370539.82903515187
cifar100,5000,20,2,4,0.0008,25000.0,0.714111328125,892.63916015625,112.91091499014294,12748.874723911285,141138.64373767868
cifar100,5000,20,2,8,0.0016,12500.0,0.78369140625,489.80712890625,87.61936288787018,7677.152752876282,54762.101804918864
